2026-03-16 13:51:41 | INFO     | bank_credit_pipeline.probe | ======================================================================
2026-03-16 13:51:41 | INFO     | bank_credit_pipeline.probe | SONDAGEM DA API IFDATA - INÍCIO
2026-03-16 13:51:41 | INFO     | bank_credit_pipeline.probe | ======================================================================
2026-03-16 13:51:41 | INFO     | bank_credit_pipeline.probe | Período de sondagem: 202506
2026-03-16 13:51:41 | INFO     | bank_credit_pipeline.probe | --------------------------------------------------
2026-03-16 13:51:41 | INFO     | bank_credit_pipeline.probe | 1. Listando relatórios disponíveis...
2026-03-16 13:51:41 | DEBUG    | bank_credit_pipeline.sources.ifdata._make_request | Requisição (tentativa 1): https://olinda.bcb.gov.br/olinda/servico/IFDATA/versao/v1/odata/ListaDeRelatorio()?$format=json
2026-03-16 13:51:42 | DEBUG    | bank_credit_pipeline.sources.ifdata._make_request | URL final enviada: https://olinda.bcb.gov.br/olinda/servico/IFDATA/versao/v1/odata/ListaDeRelatorio()?$format=json
2026-03-16 13:51:42 | INFO     | bank_credit_pipeline.sources.ifdata.get_report_list | Lista de relatórios obtida: 16 entradas
2026-03-16 13:51:42 | INFO     | bank_credit_pipeline.probe |    16 entradas na lista de relatórios
2026-03-16 13:51:42 | INFO     | bank_credit_pipeline.probe |    Colunas: ['NomeRelatorio', 'NumeroRelatorio']
2026-03-16 13:51:42 | INFO     | bank_credit_pipeline.probe | --------------------------------------------------
2026-03-16 13:51:42 | INFO     | bank_credit_pipeline.probe | 2. Sondando cadastro de instituições...
2026-03-16 13:51:42 | DEBUG    | bank_credit_pipeline.sources.ifdata._make_request | Requisição (tentativa 1): https://olinda.bcb.gov.br/olinda/servico/IFDATA/versao/v1/odata/IfDataCadastro(AnoMes=202506)?$format=json&$top=10000
2026-03-16 13:51:51 | DEBUG    | bank_credit_pipeline.sources.ifdata._make_request | URL final enviada: https://olinda.bcb.gov.br/olinda/servico/IFDATA/versao/v1/odata/IfDataCadastro(AnoMes=202506)?$format=json&$top=10000
2026-03-16 13:51:51 | INFO     | bank_credit_pipeline.sources.ifdata.get_cadastro | Cadastro obtido: período=202506, instituições=5739
2026-03-16 13:51:51 | INFO     | bank_credit_pipeline.probe |    5739 instituições encontradas
2026-03-16 13:51:51 | INFO     | bank_credit_pipeline.probe |    Colunas: ['CodInst', 'Data', 'NomeInstituicao', 'DataInicioAtividade', 'Tcb', 'Td', 'Tc', 'SegmentoTb', 'Atividade', 'Uf', 'Municipio', 'Sr', 'CodConglomeradoFinanceiro', 'CodConglomeradoPrudencial', 'CnpjInstituicaoLider', 'Situacao']
2026-03-16 13:51:51 | INFO     | bank_credit_pipeline.sources.ifdata.discover_bank_code | Banco descoberto por match exato: 'ITAU - PRUDENCIAL' -> CodInst=C0080099 (nome='ITAU - PRUDENCIAL', período=202506)
2026-03-16 13:51:52 | INFO     | bank_credit_pipeline.sources.ifdata.discover_bank_code | Banco descoberto por match exato: 'BRADESCO - PRUDENCIAL' -> CodInst=C0080075 (nome='BRADESCO - PRUDENCIAL', período=202506)
2026-03-16 13:51:52 | INFO     | bank_credit_pipeline.sources.ifdata.discover_bank_code | Banco descoberto por match exato: 'BANCO SANTANDER (BRASIL) S.A.' -> CodInst=90400888 (nome='BANCO SANTANDER (BRASIL) S.A.', período=202506)
2026-03-16 13:51:52 | INFO     | bank_credit_pipeline.sources.ifdata.discover_bank_code | Banco descoberto por match exato: 'BANCO DO BRASIL S.A.' -> CodInst=00000000 (nome='BANCO DO BRASIL S.A.', período=202506)
2026-03-16 13:51:52 | INFO     | bank_credit_pipeline.sources.ifdata.discover_bank_code | Banco descoberto por match exato: 'BMG - PRUDENCIAL' -> CodInst=C0080178 (nome='BMG - PRUDENCIAL', período=202506)
2026-03-16 13:51:52 | INFO     | bank_credit_pipeline.sources.ifdata.discover_bank_code | Banco descoberto por match exato: 'PINE - PRUDENCIAL' -> CodInst=C0080374 (nome='PINE - PRUDENCIAL', período=202506)
2026-03-16 13:51:52 | INFO     | bank_credit_pipeline.sources.ifdata.discover_bank_code | Banco descoberto por match exato: 'BANCO INTER S.A.' -> CodInst=00416968 (nome='BANCO INTER S.A.', período=202506)
