CodInst,Data,NomeInstituicao,DataInicioAtividade,Tcb,Td,Tc,SegmentoTb,Atividade,Uf,Municipio,Sr,CodConglomeradoFinanceiro,CodConglomeradoPrudencial,CnpjInstituicaoLider,Situacao
C0080312,202506,ABC-BRASIL - PRUDENCIAL,180001,B1,I,3,,Crédito Atacado,SP,São Paulo,S3,,C0080312,28195667,A
C0083694,202506,AGIBANK - PRUDENCIAL,180001,B1,I,2,,Crédito Varejo,SP,Campinas,S3,,C0083694,10664513,A
01542356,202506,AGROBANCO-BANCO COMERCIAL S.A.,194602,B1,I,2,Banco Comercial,,GO,Goiânia,,,,,I
C0081256,202506,ANDBANK - PRUDENCIAL,180001,B1,I,3,,Crédito Varejo,SP,São Paulo,S4,,C0081256,48795256,A
09978168,202506,BANCA COMMERCIALE ITALIANA,197411,B1,I,3,Banco Comercial Estrangeiro - Filial no país,,SP,São Paulo,,,,,I
28195667,202506,BANCO ABC BRASIL S.A.,198312,B1,I,3,Banco Múltiplo,,SP,São Paulo,S3,,C0080312,28195667,A
03532415,202506,BANCO ABN AMRO CLEARING S.A.,199912,B1,I,3,Banco Múltiplo,,SP,São Paulo,S4,,C0081579,03532415,A
33066408,202506,BANCO ABN AMRO REAL S.A.,196703,B1,I,3,Banco Múltiplo,,SP,São Paulo,,,,,I
C0083539,202506,BANCO AFINZ BM - PRUDENCIAL,180001,B1,I,2,,Serviços,SP,Barueri,S4,,C0083539,60114865,A
04814563,202506,BANCO AFINZ S.A. - BANCO MÚLTIPLO,201007,B1,I,2,Banco Múltiplo,,SP,Barueri,S4,,C0083539,60114865,A
10664513,202506,BANCO AGIBANK S.A.,200903,B1,I,2,Banco Comercial,,SP,Campinas,S3,,C0083694,10664513,A
24986770,202506,BANCO AGRIMISA S.A.,193107,B1,I,2,Banco Múltiplo,,MG,Belo Horizonte,,,,,I
09777385,202506,BANCO AGROPASTORIL DE MINAS GERAIS S.A.,180001,B1,I,2,Banco Comercial,,,,,,,,I
03323840,202506,BANCO ALFA S.A.,199909,B1,I,2,Banco Comercial,,SP,São Paulo,S2,,C0080109,58160789,A
33870163,202506,BANCO ALVORADA S.A.,196810,B1,I,3,Banco Múltiplo,,BA,Salvador,S1,,,,I
48795256,202506,BANCO ANDBANK (BRASIL) S.A.,197708,B1,I,3,Banco Múltiplo,,SP,São Paulo,S4,,C0081256,48795256,A
33861840,202506,BANCO APLICAP S.A.,197903,B1,I,2,Banco Comercial,,RJ,Rio de Janeiro,,,,,LO
78336633,202506,BANCO ARAUCÁRIA S.A.,197912,B1,I,2,Banco Múltiplo,,PR,Curitiba,,,,,I
54403563,202506,BANCO ARBI S.A.,196910,B1,I,2,Banco Comercial,,RJ,Rio de Janeiro,S4,,C0081201,54403563,A
09777384,202506,BANCO AUTOCASTRO S.A.,180001,B1,I,2,Banco Comercial,,,,,,,,LO
60885100,202506,BANCO AUXILIAR S.A.,194301,B1,I,2,Banco Comercial,,SP,São Paulo,,,,,I
C0081225,202506,BANCO B3 - PRUDENCIAL,180001,B1,I,2,,Serviços,SP,São Paulo,S4,,C0081225,00997185,A
00997185,202506,BANCO B3 S.A.,199609,B1,I,2,Banco Comercial,,SP,São Paulo,S4,,C0081225,00997185,A
10866788,202506,BANCO BANDEPE S.A.,196402,B1,I,3,Banco Múltiplo,,SP,São Paulo,S1,,C0080185,90400888,A
15142490,202506,BANCO BANEB S.A.,193706,B1,I,2,Banco Múltiplo,,BA,Salvador,,,,,I
76492172,202506,BANCO BANESTADO S.A.,192811,B1,I,2,Banco Múltiplo,,PR,Curitiba,,,,,I
C0080893,202506,BANCO BARI DE INVESTIMENTO E FINANCI. - PRUDENCIAL,180001,B1,I,2,,Crédito Varejo,PR,Curitiba,S4,,C0080893,00556603,A
00556603,202506,BANCO BARI DE INVESTIMENTOS E FINANCIAMENTOS S.A.,199506,B1,I,2,Banco Múltiplo,,PR,Curitiba,S4,,C0080893,00556603,A
60898723,202506,BANCO BCN S.A.,194001,B1,I,2,Banco Múltiplo,,SP,São Paulo,,,,,I
04562120,202506,BANCO BEA S.A.,195805,B1,I,2,Banco Múltiplo,,AM,Manaus,,,,,I
07196934,202506,BANCO BEC S.A.,196406,B1,I,2,Banco Múltiplo,,SP,Osasco,,,,,I
01540541,202506,BANCO BEG S.A.,194607,B1,I,2,Banco Múltiplo,,GO,Goiânia,,,,,I
58497702,202506,BANCO BLUEBANK S.A.,198801,B1,I,2,Banco Múltiplo,,RJ,Rio de Janeiro,S3,,C0080367,33923798,A
50585090,202506,BANCO BMG CONSIGNADO S.A.,197805,B1,I,2,Banco Múltiplo,,SP,São Paulo,S3,,C0080178,61186680,A
61186680,202506,BANCO BMG S.A.,196504,B1,I,2,Banco Múltiplo,,SP,São Paulo,S3,,C0080178,61186680,A
62421979,202506,BANCO BMG SOLUÇÕES FINANCEIRAS S.A.,196810,B1,I,2,Banco Múltiplo,,SP,São Paulo,S3,,C0080178,61186680,A
