NomeRelatorio,NumeroRelatorio
Resumo,1
Ativo,2
Passivo,3
Demonstração de Resultado,4
Informações de Capital,5
Segmentação,6
Carteira de Crédito Ativa - Por indexador,7
Carteira de crédito ativa - por nível de risco da operação,8
Carteira de crédito ativa - por região geográfica,9
Carteira de crédito ativa - quantidade de clientes e de operações,10
Carteira de crédito ativa Pessoa Física - modalidade e prazo de vencimento,11
Carteira de crédito ativa Pessoa Jurídica -  por atividade econômica (CNAE),12
Carteira de crédito ativa Pessoa Jurídica - modalidade e prazo de vencimento,13
Carteira de crédito ativa Pessoa Jurídica - por porte do tomador,14
Movimentação de Câmbio no Trimestre,15
Carteira de crédito ativa - por carteiras de instrumentos financeiros,16
